Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,35.740002,36.459999,35.299999,36.400002,35.797588,24736
2019-10-02,36.360001,37.880001,36.340000,37.880001,37.253094,19745
2019-10-03,37.860001,38.220001,37.000000,37.840000,37.213753,12090
2019-10-04,37.139999,37.820000,37.139999,37.599998,36.977726,9898
2019-10-07,37.400002,38.459999,37.180000,38.099998,37.469448,23723
2019-10-08,37.299999,38.299999,36.560001,37.680000,37.056400,17733
2019-10-09,37.400002,37.400002,36.799999,37.099998,36.486000,5320
2019-10-10,36.799999,37.020000,35.799999,36.200001,35.600895,10176
2019-10-11,36.500000,38.759998,36.500000,37.400002,36.781036,17567
2019-10-14,37.139999,37.980000,36.139999,36.500000,35.895931,25859
2019-10-15,37.099998,37.820000,36.599998,37.419998,36.800701,14350
2019-10-16,37.080002,37.419998,36.599998,37.200001,36.584347,2725
2019-10-17,37.400002,37.820000,37.160000,37.480000,36.859711,9104
2019-10-18,38.000000,39.299999,37.520000,38.759998,38.118526,13953
2019-10-21,38.759998,39.799999,38.700001,39.700001,39.042973,17224
2019-10-22,40.000000,40.480000,39.060001,39.680000,39.023304,23477
2019-10-23,39.980000,39.980000,39.040001,39.459999,38.806946,9913
2019-10-24,39.500000,39.959999,39.279999,39.680000,39.023304,26126
2019-10-25,39.880001,40.299999,38.840000,40.040001,39.377346,60135
2019-10-28,39.919998,39.980000,39.580002,39.740002,39.082310,10112
2019-10-30,39.200001,41.000000,39.020000,40.439999,39.770721,40438
2019-10-31,40.599998,40.840000,39.360001,39.599998,38.944626,13257
2019-11-01,39.299999,39.540001,38.060001,38.779999,38.138195,24698
2019-11-04,38.500000,38.880001,38.220001,38.480000,37.843163,16778
2019-11-05,38.660000,38.799999,38.119999,38.360001,37.725147,8265
2019-11-06,38.320000,38.900002,37.180000,37.599998,36.977726,23090
2019-11-07,37.380001,37.820000,37.080002,37.299999,36.682693,32919
2019-11-08,37.680000,37.900002,37.259998,37.840000,37.213753,19218
2019-11-11,37.759998,39.020000,37.759998,38.860001,38.216873,19265
2019-11-12,39.779999,41.480000,38.000000,41.259998,40.577152,48677
2019-11-13,41.400002,41.880001,41.020000,41.560001,40.872189,17085
2019-11-14,41.500000,42.380001,41.500000,41.779999,41.088547,18928
2019-11-15,42.459999,42.459999,41.040001,41.919998,41.226231,19251
2019-11-18,41.480000,41.939999,41.240002,41.740002,41.049210,10936
2019-11-19,41.500000,42.000000,41.380001,41.660000,40.970535,5044
2019-11-20,41.700001,41.799999,41.400002,41.500000,40.813183,8342
2019-11-21,41.400002,41.400002,40.500000,40.779999,40.105095,14324
2019-11-22,40.400002,41.459999,40.400002,41.279999,40.596821,13258
2019-11-25,41.139999,41.500000,41.119999,41.279999,40.596821,12138
2019-11-26,41.400002,42.000000,41.000000,41.700001,41.009876,8574
2019-11-27,41.500000,46.500000,41.000000,43.700001,42.976772,356821
2019-11-28,44.200001,44.200001,43.000000,43.900002,43.173462,38201
2019-11-29,44.119999,44.119999,43.400002,43.919998,43.193130,24714
2019-12-02,43.880001,44.080002,43.599998,44.000000,43.271809,21768
2019-12-03,44.020000,44.340000,43.840000,43.919998,43.193130,33261
